Elead ID,City,State,Zip,Bought Veh,Bought Veh Model,Bought Veh Trim,Bought Veh Price,Sale Date,Stock#,Vin#
7093347,ATLANTA,GA,30306,Mercedes-Benz,S-Class,S550 2dr Cabriolet,100795,9/27/17,15687,WDDXK8CB0HA019051
7102587,MACON,GA,31211,Mercedes-Benz,E-Class,E350 4dr Rear-wheel Drive Sedan,38897,9/27/17,15626,WDDHF5KB1GB194278
7102588,DECATUR,GA,30030,Mercedes-Benz,S-Class,S550 4dr Rear-wheel Drive Sedan,71296,9/28/17,15680,WDDUG8CB5GA232760
7102589,KENNESAW,GA,30152,Audi,Q5,3.0T Premium Plus 4dr All-wheel Drive quattro Sport Utility,36076,9/28/17,15621,WA1WGAFPXFA017983
7098878,LITHONIA,GA,30058,Audi,S7,,48989,9/29/17,15688,WAUW2AFC8EN012903
7102590,VILLA RICA,GA,30180,Mercedes-Benz,E-Class,,78500,9/29/17,15705,WDDHF7GB0GB296210
7102592,SMYRNA,GA,30080,Mercedes-Benz,GL-Class,GL63 AMG 4dr All-wheel Drive 4MATIC,74000,9/29/17,15692,4JGDF7EE6FA594573
7102594,GRAPEVINE,TX,76051,Porsche,Boxster,,67565,9/29/17,15632,WP0CB2A84GS140316
7102593,NASHVILLE,TN,37206,Porsche,Panamera,,34291,9/30/17,15628A,WP0AA2A79CL072021
7102610,FLAGSTAFF,AZ,86004,Ford,C-Max Hybrid,SEL 4dr Hatchback,13200,9/30/17,15560A,1FADP5BUXEL514959
7102595,HAMILTON,GA,31811,BMW,740,i 4dr Rear-wheel Drive Sedan,60990,10/2/17,15615,WBA7E2C53HG739866
7102598,ELKHART,IN,46517,Lamborghini,Gallardo,LP560-4 2dr All-wheel Drive Spyder,144094,10/2/17,15390,ZHWGU6AU4ELA13907
7102596,MOUNTAIN BRK,AL,35223,Porsche,Panamera,,60391,10/3/17,15522,WP0AB2A76FL050351
7102597,CARTERSVILLE,GA,30121,Chrysler,Crossfire,Base 2dr Coupe,3601,10/3/17,15621A,1C3AN69L54X003614
7102600,ATLANTA,GA,30326,Lexus,IS 350,Base 4dr Rear-wheel Drive Sedan,33969,10/3/17,15479A,JTHBE1D28F5022513
7102609,CANTON,GA,30115,BMW,640,i 2dr Rear-wheel Drive Coupe,45646,10/3/17,15702,WBALW3C59FC892936
7102212,LAFAYETTE,LA,70503,BMW,740,i 4dr Rear-wheel Drive Sedan,47000,10/4/17,15715,WBA7E2C56GG504022
7102599,KNOXVILLE,TN,37938,BMW,435,i 2dr Rear-wheel Drive Convertible,38400,10/4/17,15647,WBA3T3C5XEP736713
7101485,ACWORTH,GA,30101,Land Rover,Range Rover Evoque,,30200,10/5/17,15633,SALVP2BG7FH977856
7102602,SOMERVILLE,TN,38068,Mercedes-Benz,E-Class,E550 2dr Cabriolet,22990,10/5/17,15575B,WDDKK7CF6BF041783
7102601,ALPHARETTA,GA,30004,Mercedes-Benz,GLS 450,GLS450 4dr All-wheel Drive 4MATIC,57253,10/6/17,15689,4JGDF6EE7HA868179
7102603,MEMPHIS,TN,38117,INFINITI,QX80,,48500,10/6/17,15673,JN8AZ2NF2H9641908
7102605,KNOXVILLE,TN,37922,Land Rover,Range Rover Evoque,,44989,10/6/17,15699,SALVE2BG1FH027692
7102606,COLUMBUS,MS,39705,Mercedes-Benz,AMG GLE,S-Model AMG GLE63 4dr All-wheel Drive 4MATIC Sport Utility,89991,10/6/17,15722,4JGDA7FB1HA875315
7102607,MARIETTA,GA,30064,Audi,A8,4.2 4dr All-wheel Drive quattro Sedan,26500,10/6/17,15666A,WAUAVAFD5CN006063
7102608,WALESKA,GA,30183,Land Rover,Range Rover,,68179,10/6/17,15516,SALGS2TF6EA155327
7102611,BROOKHAVEN,GA,30319,Land Rover,Discovery Sport,SE 4x4,31990,10/7/17,15710,SALCP2BG0GH551497
7098687,ATHENS,AL,35613,BMW,X3,xDrive28i 4dr All-wheel Drive Sports Activity Vehicle,22000,10/10/17,15589,5UXWX9C58E0D25893
7102612,STONE MOUNTAIN,GA,30087,Mercedes-Benz,SL-Class,SL550 2dr Roadster,14700,10/10/17,15670A,WDBSK71F38F140050
7100252,MARIETTA,GA,30064,Porsche,Panamera,,59990,10/10/17,15586,WP0BB2A74EL062257
7102613,,GA,30281,BMW,M4,Base 2dr Rear-wheel Drive Convertible,76990,10/11/17,15655,WBS3U9C59GP970064
7102616,TULSA,OK,74135,Audi,RS 7,,57790,10/11/17,15716,WAUW2AFC5FN026162
7102656,EATONTON,GA,31024,BMW,X6,xDrive50i 4dr All-wheel Drive Sports Activity Coupe,33990,10/12/17,15727,5UXFG8C51EL592878
7102614,ATLANTA,GA,30314,Porsche,Cayenne Hybrid,,23900,10/13/17,15714,WP1AE2A24CLA90479
7102615,SMYRNA,GA,30080,BMW,550,i 4dr Rear-wheel Drive Sedan,42000,10/13/17,15653,WBAKN9C53FD960742
7095736,LAWRENCEVILLE,GA,30043,BMW,X6 M,Base 4dr All-wheel Drive Sports Activity Coupe,40000,10/14/17,15691,5YMGZ0C59DLL29805
7102617,DALLAS,GA,30132,INFINITI,QX80,,46990,10/14/17,15674,JN8AZ2NF4H9640775
7102618,SUWANEE,GA,30024,BMW,530,i xDrive 4dr All-wheel Drive Sedan,55500,10/14/17,15598,WBAJA7C3XHG458158
7102620,ADAIRSVILLE,GA,30103,BMW,M5,Base 4dr Rear-wheel Drive Sedan,52790,10/14/17,15581,WBSFV9C54ED097252
7102621,DULUTH,GA,30096,Mercedes-Benz,S-Class,S550 4dr Sedan,35600,10/14/17,15686,WDDNG7BB8BA407348
7102622,GAINESVILLE,FL,32608,Mercedes-Benz,GLE 350,GLE350 4dr All-wheel Drive 4MATIC,50500,10/14/17,15641,4JGDA5HB3HA871428
7102624,ATLANTA,GA,30339,INFINITI,QX80,,48900,10/14/17,15675,JN8AZ2NF5H9643071
7102629,EVANS,GA,30809,Audi,A8,L 3.0T 4dr All-wheel Drive quattro LWB Sedan,59191,10/14/17,15667,WAU44AFD9HN012990
7102623,NEPTUNE BEACH,FL,32266,Aston Martin,V8 Vantage,Base 2dr Coupe,43401,10/16/17,15236A,SCFBB03B47GC04905
